Comment,Designator,Footprint,LCSC
L_Ferrite,L3,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C113030
10uF,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
100nF,"C1,C2,C3,C4,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
1uF,"C6,C7",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
TPS7A4910DGNR,U6,DGN8_1P89X1P57,C16430
OPA2188AIDR,U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C17271
BC847C,Q1,SOT-23,C181141
1nF,C13,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,C182470
4.7uF,"C11,C12",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1872
2k,"R1,R2,R3,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22975
BH2221FV,U1,SSOP-20_4.4x6.5mm_P0.65mm,C2679449
4.7K 75V,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907166
15.4K 1%,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2933150
JST-B2B-PH-0JLC,"J1,J10,J2,J3,J4,J5,J6,J7,J8,J9",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
4.7uF,C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C29823
115K 1%,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C3016434
10uF 50V,"C18,C19",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
pi141x3x,U2,SOIC-16_3.9x9.9mm_P1.27mm,C471602
MMCX,"J12,J13,J14",MMCX_JLC,C530664
100nF 50V,"C14,C15,C21,C22",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112
2.2uF,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57895
10uF 50V,"C16,C17",CP_Elec_5x5.4,C72487
~,U3,SOT-23-5,C80670
B0305S-1WR2,"PS1,PS2",Converter_DCDC_Murata_CRE1xxxxxx3C_THT,C80854
6.8uF,"L1,L2,L4",L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C87559
MountingHole_Pad,H1,MountingHole_2.2mm_M2_Pad_Via,
MountingHole_Pad,H2,MountingHole_2.2mm_M2_Pad_Via,
MountingHole_Pad,H3,MountingHole_2.2mm_M2_Pad_Via,
MountingHole_Pad,H4,MountingHole_2.2mm_M2_Pad_Via,
Conn_01x05_Pin,J11,PinHeader_1x05_P2.54mm_Vertical,
