Comment,Designator,Footprint,LCSC
1nF,C37,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C100040
ZXTN2010ZTA,Q2,SOT-89-3,C122575
"PCA8550PW,112",U3,TSSOP-16_4.4x5mm_P0.65mm,C129509
10uF_1206_50V,"C10,C21,C22",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
ISO1541,U5,SOIC-8_3.9x4.9mm_P1.27mm,C143028
100nF,"C11,C23,C24,C4,C5,C6,C7",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
1uF,"C14,C15,C19,C20,C25,C26,C31,C32,C33,C34",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
JST-B2B-PH-0JLC,J12,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
1K,"R1,R2",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
4.7K,"R3,R4,R5,R6",R_0402_1005Metric,C25900
USB_C_TYPE_603_T3,J1,USB-C-SMD_TYPE-603-T3,C2689837
4.7uF_1206_50V,"C17,C18,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C29823
B0505S-2WR2,"PS2,PS3",PWRM-TH_B0505S-2WR2_C2992385,C2992385
JST_SH_Conn_01x04_i2c_uart_horizontal,"J2,J3,J4,J5",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C371571
PI121,U7,SOIC-8_3.9x4.9mm_P1.27mm,C471589
PI120,U6,SOIC-8_3.9x4.9mm_P1.27mm,C471591
Conn_Coaxial,"J6,J7,J8,J9",U.FL_Hirose_U.FL-R-SMT-1_Vertical,C5137195
100nF_0402,"C1,C2,C3,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C56392
10nF,"C12,C27,C28",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112
LP5907MFX-3.3,"U10,U11,U12,U8,U9",SOT-23-5,C80670
4052,U2,TSSOP-16_4.4x5mm_P0.65mm,C8142
47uF,"C13,C16",C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C84494
BC847C,Q1,SOT-23,C8664
6.8uH,"L1,L2,L3",L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,C87558
B0305S,PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,C909802
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
