Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF_0402,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.601191,-79.70925,180.0,top
C2,100nF_0402,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.576191,-84.10925,90.0,top
C3,100nF_0402,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,109.0,-88.4325,90.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.975,-81.6375,180.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.075,-72.3375,180.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.175,-81.6375,180.0,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.975,-72.2375,180.0,top
C8,100nF_0402,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,118.4,-88.4675,90.0,top
C9,4.7uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,99.8375,-62.0,0.0,top
C10,10uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,122.525,-67.7625,90.0,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.85,-68.2,-90.0,top
C12,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.875,-68.1875,-90.0,top
C13,47uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,129.8,-67.65,90.0,top
C14,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.95,-75.1,-90.0,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,145.5,-75.3375,-90.0,top
C16,47uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,139.4,-68.15,90.0,top
C17,4.7uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,101.425,-99.83,0.0,top
C18,4.7uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100.5375,-115.6,0.0,top
C19,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.0,-72.8875,-90.0,top
C20,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.1,-88.425,-90.0,top
C21,10uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,119.9375,-95.1,180.0,top
C22,10uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,118.3075,-109.05,180.0,top
C23,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.6375,-93.1,0.0,top
C24,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.1375,-106.6,0.0,top
C25,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.3,-73.15,-90.0,top
C26,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.3,-89.5875,-90.0,top
C27,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.6375,-91.4,0.0,top
C28,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.1375,-104.9,0.0,top
C31,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.9,-80.5125,-90.0,top
C32,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.05,-96.75,-90.0,top
C33,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.1,-80.75,-90.0,top
C34,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.45,-97.15,-90.0,top
C37,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.4,-95.4,0.0,top
J1,USB_C_TYPE_603_T3,USB-C-SMD_TYPE-603-T3,93.103,-96.5,-90.0,top
J2,JST_SH_Conn_01x04_i2c_uart_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,160.325,-96.7,90.0,top
J3,JST_SH_Conn_01x04_i2c_uart_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,160.375,-80.2625,90.0,top
J4,JST_SH_Conn_01x04_i2c_uart_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,160.325,-88.55,90.0,top
J5,JST_SH_Conn_01x04_i2c_uart_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,160.375,-72.3625,90.0,top
J6,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,136.475,-63.98,90.0,top
J7,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,145.6,-71.35,90.0,top
J8,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,137.55,-90.875,-90.0,top
J9,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,130.6,-108.35,-90.0,top
J12,JST-B2B-PH-0JLC,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,91.9,-112.4,-90.0,top
L1,6.8uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,100.0,-65.0,180.0,top
L2,6.8uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,101.4875,-96.78,180.0,top
L3,6.8uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,100.6125,-112.6,180.0,top
PS1,B0305S,Converter_DCDC_Murata_MEE1SxxxxSC_THT,112.9875,-64.1575,90.0,top
PS2,B0505S-2WR2,PWRM-TH_B0505S-2WR2_C2992385,116.4,-100.1,0.0,top
PS3,B0505S-2WR2,PWRM-TH_B0505S-2WR2_C2992385,116.5,-114.3,0.0,top
Q1,BC847C,SOT-23,135.25,-68.2125,90.0,top
Q2,ZXTN2010ZTA,SOT-89-3,146.65,-64.2,90.0,top
R1,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.6,-68.25,-90.0,top
R2,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.9,-67.3,-90.0,top
R3,4.7K,R_0402_1005Metric,108.2,-79.91,90.0,top
R4,4.7K,R_0402_1005Metric,107.0,-79.91,90.0,top
R5,4.7K,R_0402_1005Metric,123.02,-81.19,180.0,top
R6,4.7K,R_0402_1005Metric,123.0,-82.4,180.0,top
U2,4052,TSSOP-16_4.4x5mm_P0.65mm,122.776191,-76.10925,180.0,top
U3,"PCA8550PW,112",TSSOP-16_4.4x5mm_P0.65mm,123.038691,-86.93425,0.0,top
U4,seeed_rp2040,DIP-XIAO-QTPY,97.28,-79.38,0.0,top
U5,ISO1541,SOIC-8_3.9x4.9mm_P1.27mm,114.0,-85.3325,0.0,top
U6,PI120,SOIC-8_3.9x4.9mm_P1.27mm,113.5,-75.9325,0.0,top
U7,PI121,SOIC-8_3.9x4.9mm_P1.27mm,113.525,-91.095,0.0,top
U8,LP5907MFX-3.3,SOT-23-5,142.0375,-76.2875,0.0,top
U9,LP5907MFX-3.3,SOT-23-5,152.0,-73.9875,0.0,top
U10,LP5907MFX-3.3,SOT-23-5,152.1,-89.6875,0.0,top
U11,LP5907MFX-3.3,SOT-23-5,151.9375,-81.6625,0.0,top
